# The data corresponding to the mean technical Ag used in Fil et al.
# doi.org://10.1063/1.4972571
0,0
4,0.75
6,0.78
8,0.79
10,0.82
12,0.83
14,0.85
16,0.87
18,0.9
20,0.94
22,0.97
24,1
26,1.03
30,1.1
36,1.17
49,1.31
70,1.55
75,1.61
90,1.725
100,1.77
150,1.975
200,2.119
250,2.173
300,2.17
350,2.16
400,2.152
450,2.137
500,2.106
600,2.041
700,1.975
800,1.907
900,1.847
1000,1.777
1200,1.67
1400,1.582
1600,1.5
1800,1.42
2000,1.34
3000,1.07
4000,0.95
5000,0.87
6000,0.795
7000,0.75
8000,0.72
10000,0.68
12000,0.635
14000,0.62
16000,0.6
18000,0.58
20000,0.57
22000,0.56
